"C_p_ise","N_discontinuous_edges","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","distribution_order","inclination","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2","v_inner:0","v_inner:1","v_inner:2","Cell Type"
-0.010342,0,5283.8,-2232.7,-133.07,1.374e-06,-9.2811,-88.391,1,1,1.5459e-08,-0.10443,-0.99453,-1.5459e-08,1556.9,-16.502,1.7327,1548.9,0,0,3
-0.013459,0,5211.9,-2192.4,-137.3,0,-11.933,-113.65,1,1,0,-0.10443,-0.99453,-0,1559.3,-17.933,1.883,1548.9,0,0,3
-0.018451,0,5641,-2196.6,-136.86,0,-18.09,-172.28,1,1,0,-0.10443,-0.99453,-0,1563.3,-11.108,1.1664,1548.9,0,0,3
-0.021238,0,7213.4,-2195.2,-137.01,0,-20.146,-191.87,1,1,0,-0.10443,-0.99453,-0,1565.5,3.463,-0.36362,1548.9,0,0,3
-0.020114,0,6786.2,-2195.1,-137.01,0,-19.062,-181.54,1,1,0,-0.10443,-0.99453,-0,1564.6,0.24274,-0.025488,1548.9,0,0,3
-0.016762,0,6350.9,-2190.2,-137.53,0,-14.025,-133.57,1,1,0,-0.10443,-0.99453,-0,1562,-0.4737,0.049739,1548.9,0,0,3
-0.013653,0,5784.5,-2198.7,-136.64,0,-14.029,-133.61,1,1,0,-0.10443,-0.99453,-0,1559.5,-6.8148,0.71556,1548.9,0,0,3
-0.016203,0,5355,-2193.4,-137.2,0,-14.714,-140.13,1,1,0,-0.10443,-0.99453,-0,1561.5,-13.762,1.4451,1548.9,0,0,3
-0.014428,0,6071,-2188.1,-137.75,0,-11.379,-108.37,1,1,0,-0.10443,-0.99453,-0,1560.2,-5.7986,0.60886,1548.9,0,0,3
-0.018182,0,7503.3,-2196,-136.92,0,-17.589,-167.51,1,1,0,-0.10443,-0.99453,-0,1563.1,7.4282,-0.77996,1548.9,0,0,3
-0.010932,0,5713.2,-2242.2,-132.07,-6.2134e-06,-11.076,-105.48,1,1,-5.8583e-08,-0.10443,-0.99453,5.8583e-08,1557.4,-7.9478,0.83443,1548.9,0,0,3
-0.021516,0,6714.6,-2235.9,-132.73,-2.5189e-05,-20.403,-194.32,1,1,-1.2892e-07,-0.10443,-0.99453,1.2892e-07,1565.7,0.8818,-0.092787,1548.9,0,0,3
-0.017551,0,6642.3,-2193.9,-137.14,0,-16.138,-153.69,1,1,0,-0.10443,-0.99453,-0,1562.6,2.686,-0.28203,1548.9,0,0,3
-0.018181,0,5569.4,-2237.5,-132.56,1.4846e-05,-17.38,-165.53,1,1,8.9198e-08,-0.10443,-0.99453,-8.9198e-08,1563.1,-11.224,1.1787,1548.9,0,0,3
-0.011532,0,5426.5,-2234.3,-132.9,1.5165e-06,-10.471,-99.723,1,1,1.5124e-08,-0.10443,-0.99453,-1.5124e-08,1557.9,-11.662,1.2245,1548.9,0,0,3
-0.021752,0,7714.3,-2225,-133.87,2.5868e-05,-16.835,-160.33,1,1,1.6046e-07,-0.10443,-0.99453,-1.6046e-07,1565.9,5.5273,-0.58013,1548.9,0,0,3
-0.015339,0,5497.7,-2194,-137.13,0,-14.155,-134.81,1,1,0,-0.10443,-0.99453,-0,1560.8,-9.9422,1.0439,1548.9,0,0,3
-0.01099,0,4927,-2190.8,-137.47,0,-9.3397,-88.949,1,1,0,-0.10443,-0.99453,-0,1557.3,-21.818,2.2908,1548.9,0,0,3
-0.019832,0,7135.2,-2235.4,-132.79,1.8559e-05,-20.569,-195.89,1,1,9.4221e-08,-0.10443,-0.99453,-9.4221e-08,1564.4,2.8755,-0.30178,1548.9,0,0,3
-0.02072,0,6418.5,-2230,-133.35,-5.7896e-06,-18.569,-176.84,1,1,-3.256e-08,-0.10443,-0.99453,3.256e-08,1565.1,-2.8852,0.3029,1548.9,0,0,3
-0.015203,0,6566.8,-2233.6,-132.97,1.4195e-05,-14.96,-142.47,1,1,9.9088e-08,-0.10443,-0.99453,-9.9088e-08,1560.8,1.6221,-0.17017,1548.9,0,0,3
-0.0084925,0,4999.2,-2229.7,-133.38,4.1608e-06,-7.1927,-68.501,1,1,6.0409e-08,-0.10443,-0.99453,-6.0409e-08,1555.4,-20.687,2.1722,1548.9,0,0,3
-0.016379,0,7064.8,-2193.3,-137.21,0,-14.844,-141.37,1,1,0,-0.10443,-0.99453,-0,1561.7,4.9168,-0.51627,1548.9,0,0,3
-0.022336,0,6495.3,-2192.8,-137.25,0,-20.016,-190.63,1,1,0,-0.10443,-0.99453,-0,1566.4,-2.2544,0.23672,1548.9,0,0,3
-0.017316,0,6879.8,-2281.4,-127.95,-1.0458e-05,-13.345,-127.09,1,1,-8.1833e-08,-0.10443,-0.99453,8.1833e-08,1562.4,2.4942,-0.26202,1548.9,0,0,3
-0.0035395,0,4746.1,-2236.1,-132.71,-3.2527e-06,-2.8215,-26.871,1,1,-1.2039e-07,-0.10443,-0.99453,1.2039e-07,1551.4,-29.291,3.0754,1548.9,0,0,3
-0.0096426,0,4793.8,-2188.2,-137.74,0,-7.6375,-72.737,1,1,0,-0.10443,-0.99453,-0,1556.2,-24.499,2.5724,1548.9,0,0,3
-0.016369,0,6273.5,-2227.9,-133.58,-4.4775e-07,-13.931,-132.67,1,1,-3.3564e-09,-0.10443,-0.99453,3.3564e-09,1561.7,-0.62622,0.065748,1548.9,0,0,3
-0.015108,0,6136.7,-2225.7,-133.8,-8.0365e-06,-10.662,-101.54,1,1,-7.8712e-08,-0.10443,-0.99453,7.8712e-08,1560.7,-6.1428,0.64488,1548.9,0,0,3
-0.02476,0,8065.4,-2184.3,-138.15,0,-17.424,-165.94,1,1,0,-0.10443,-0.99453,-0,1568.3,5.7196,-0.60056,1548.9,0,0,3
-0.016597,0,8113.1,-2229.9,-133.36,-5.3211e-06,-11.26,-107.24,1,1,-4.9348e-08,-0.10443,-0.99453,4.9348e-08,1561.8,12.168,-1.2777,1548.9,0,0,3
-0.01791,0,6857.7,-2220.6,-134.34,1.9665e-06,-13.463,-128.22,1,1,1.5254e-08,-0.10443,-0.99453,-1.5254e-08,1562.9,1.1835,-0.12424,1548.9,0,0,3
-0.015446,0,7929.1,-2193.4,-137.19,0,-14.055,-133.86,1,1,0,-0.10443,-0.99453,-0,1560.9,8.3961,-0.88159,1548.9,0,0,3
-0.016182,0,7856,-2227,-133.67,-1.9232e-05,-13.75,-130.95,1,1,-1.4607e-07,-0.10443,-0.99453,1.4607e-07,1561.5,8.7202,-0.91585,1548.9,0,0,3
-0.16033,0,11637,-2229,-66.587,146.09,-146.09,-1391.4,1,1,0.10386,-0.10386,-0.98915,-0.10386,1676.8,15.054,140.11,1548.9,0,0,3
-0.02344,0,9415.9,-2282,-127.89,4.526e-05,-19.403,-184.79,1,1,2.4359e-07,-0.10443,-0.99453,-2.4359e-07,1567.2,8.9611,-0.94054,1548.9,0,0,3
-0.14617,0,12081,-2193.6,-23.663,133.9,-133.9,-1275.2,1,1,0.10386,-0.10386,-0.98915,-0.10386,1663.8,15.428,142.2,1548.9,0,0,3
-0.14816,0,11504,-2190.6,-84.611,138.66,-138.66,-1320.6,1,1,0.10386,-0.10386,-0.98915,-0.10386,1665.6,16.887,141.76,1548.9,0,0,3
-0.15118,0,11345,-2237.3,-96.415,144.38,-144.37,-1375,1,1,0.10386,-0.10386,-0.98915,-0.10386,1668.3,8.5147,142.18,1548.9,0,0,3
-0.012018,0,10753,-2255.6,-130.66,6.0856e-06,-11.535,-109.86,1,1,5.5093e-08,-0.10443,-0.99453,-5.5093e-08,1558.3,2.8893,-0.3033,1548.9,0,0,3
