"Phi_u","convex","mu","Points:0","Points:1","Points:2"
1.5853e+06,0,-41.189,1064.7,-2237.6,-34.345
1.6578e+06,0.40147,-45.396,1115.7,-2237.6,-39.704
1.2641e+07,0,-58.367,8219.6,-2237.6,-132.55
1.2524e+07,0,-59.008,8144.6,-2237.6,-132.55
1.8741e+07,0,54.145,12045,-2237.6,-22.789
1.5687e+07,0,-40.695,10169,-2237.6,-132.55
1.5573e+07,0,-41.164,10095,-2237.6,-132.55
1.8326e+07,0,32.909,11799,-2237.6,-48.704
1.3165e+07,0,-54.874,8554,-2237.6,-132.55
1.3154e+07,0,-54.934,8547.4,-2237.6,-132.55
1.3132e+07,0.16891,-55.042,8533.4,-2237.6,-132.55
1.2987e+07,0.60998,-55.85,8440.5,-2237.6,-132.55
1.3401e+07,0,-53.34,8705.3,-2237.6,-132.55
1.335e+07,0.19149,-53.691,8672.7,-2237.6,-132.55
1.5445e+07,0,-41.835,10013,-2237.6,-132.55
1.3207e+07,0,-54.609,8580.9,-2237.6,-132.55
1.5385e+07,0.24196,-42.086,9974.5,-2237.6,-132.55
1.5208e+07,0,-42.818,9861,-2237.6,-132.55
1.6901e+07,0,-36.87,10948,-2237.6,-132.55
1.6729e+07,0,-37.319,10838,-2237.6,-132.55
1.737e+07,0,-16.679,11231,-2237.6,-108.31
1.4406e+07,0,-46.681,9347.6,-2237.6,-132.55
1.4434e+07,0,-46.483,9364.9,-2237.6,-132.55
1.7e+07,0,-34.098,11009,-2237.6,-129.39
4.2444e+06,0,-101.92,2842.2,-2237.6,-132.55
2.2148e+06,0,-76.59,1506.5,-2237.6,-80.738
1.0791e+07,0,-69.561,7036.1,-2237.6,-132.55
1.0658e+07,0,-70.336,6951,-2237.6,-132.55
1.1976e+07,0,-62.236,7794.4,-2237.6,-132.55
1.1941e+07,0,-62.486,7771.4,-2237.6,-132.55
9.5118e+06,0,-77.146,6218.1,-2237.6,-132.55
9.4554e+06,0,-77.537,6182,-2237.6,-132.55
7.4727e+06,0,-86.406,4910.8,-2237.6,-132.55
7.3376e+06,0,-86.708,4823.9,-2237.6,-132.55
1.6729e+07,0,-37.321,10837,-2237.6,-132.55
1.749e+07,0,-10.097,11302,-2237.6,-100.86
1.3907e+07,0,-49.728,9028,-2237.6,-132.55
1.6728e+07,0,-37.322,10837,-2237.6,-132.55
9.1289e+06,0.54902,-79.208,5972.9,-2237.6,-132.55
9.0279e+06,0.54902,-79.905,5908.4,-2237.6,-132.55
1.1331e+07,0,-66.114,7381.5,-2237.6,-132.55
1.1255e+07,0,-66.578,7333.1,-2237.6,-132.55
1.1103e+07,0.66922,-67.607,7235.8,-2237.6,-132.55
9.2624e+06,0,-78.466,6058.3,-2237.6,-132.55
8.878e+06,0,-80.684,5812.4,-2237.6,-132.55
1.1486e+07,0,-65.439,7481.2,-2237.6,-132.55
1.1772e+07,0,-63.664,7664,-2237.6,-132.55
1.1713e+07,0,-64.037,7625.9,-2237.6,-132.55
1.0622e+07,0,-70.529,6928.1,-2237.6,-132.55
1.1563e+07,0,-64.989,7530.4,-2237.6,-132.55
7.7511e+06,0.72412,-85.544,5089.7,-2237.6,-132.55
7.6896e+06,0.72412,-85.779,5050.3,-2237.6,-132.55
7.9104e+06,0,-84.955,5192,-2237.6,-132.55
8.1314e+06,0,-84.163,5333.9,-2237.6,-132.55
7.9738e+06,0,-84.683,5232.6,-2237.6,-132.55
8.6505e+06,0.64749,-81.559,5666.4,-2237.6,-132.55
8.5716e+06,0.64749,-82.027,5615.9,-2237.6,-132.55
1.1029e+07,0.66922,-68.113,7188.5,-2237.6,-132.55
