"x,","y,",z
3.2478655046441415e-14,6.529038631241049e-16,-10.662729263305664
0.06441176680102878,6.529038631241049e-16,-10.662729263305664
0.1288235336020251,6.529038631241049e-16,-10.662729263305664
0.1932353004030214,6.529038631241049e-16,-10.662729263305664
0.2576470672040177,6.529038631241049e-16,-10.662729263305664
0.322058834005014,6.529038631241049e-16,-10.662729263305664
0.3864706008060103,6.529038631241049e-16,-10.662729263305664
0.4508823676070066,6.529038631241049e-16,-10.662729263305664
0.5152941344080029,6.529038631241049e-16,-10.662729263305664
0.5797059012089991,6.529038631241049e-16,-10.662729263305664
0.6441176680099954,6.529038631241049e-16,-10.662729263305664
0.7085294348109916,6.529038631241049e-16,-10.662729263305664
0.7729412016119879,6.529038631241049e-16,-10.662729263305664
0.8373529684129841,6.529038631241049e-16,-10.662729263305664
0.9017647352139804,6.529038631241049e-16,-10.662729263305664
0.9661765020149766,6.529038631241049e-16,-10.662729263305664
1.0305882688159729,6.529038631241049e-16,-10.662729263305664
1.0950000356169691,6.529038631241049e-16,-10.662729263305664
1.1594118024179654,6.529038631241049e-16,-10.662729263305664
1.2238235692189616,6.529038631241049e-16,-10.662729263305664
1.2882353360199579,6.529038631241049e-16,-10.662729263305664
1.3526471028209541,6.529038631241049e-16,-10.662729263305664
1.4170588696219504,6.529038631241049e-16,-10.662729263305664
1.4814706364229466,6.529038631241049e-16,-10.662729263305664
1.5458824032239429,6.529038631241049e-16,-10.662729263305664
1.6102941700249391,6.529038631241049e-16,-10.662729263305664
1.6747059368259354,6.529038631241049e-16,-10.662729263305664
1.7391177036269316,6.529038631241049e-16,-10.662729263305664
1.8035294704279279,6.529038631241049e-16,-10.662729263305664
1.8679412372289241,6.529038631241049e-16,-10.662729263305664
1.9323530040299204,6.529038631241049e-16,-10.662729263305664
1.9967647708309166,6.529038631241049e-16,-10.662729263305664
2.061176537631913,6.529038631241049e-16,-10.662729263305664
2.125588304432909,6.529038631241049e-16,-10.662729263305664
2.1900000712339054,6.529038631241049e-16,-10.662729263305664
2.2544118380349016,6.529038631241049e-16,-10.662729263305664
2.318823604835898,6.529038631241049e-16,-10.662729263305664
2.383235371636894,6.529038631241049e-16,-10.662729263305664
2.4476471384378904,6.529038631241049e-16,-10.662729263305664
2.5120589052388866,6.529038631241049e-16,-10.662729263305664
2.576470672039883,6.529038631241049e-16,-10.662729263305664
2.640882438840879,6.529038631241049e-16,-10.662729263305664
2.7052942056418754,6.529038631241049e-16,-10.662729263305664
2.7697059724428716,6.529038631241049e-16,-10.662729263305664
2.834117739243868,6.529038631241049e-16,-10.662729263305664
2.898529506044864,6.529038631241049e-16,-10.662729263305664
2.9629412728458604,6.529038631241049e-16,-10.662729263305664
3.0273530396468566,6.529038631241049e-16,-10.662729263305664
3.091764806447853,6.529038631241049e-16,-10.662729263305664
3.156176573248849,6.529038631241049e-16,-10.662729263305664
3.2205883400498454,6.529038631241049e-16,-10.662729263305664
3.2850001068508417,6.529038631241049e-16,-10.662729263305664
3.349411873651838,6.529038631241049e-16,-10.662729263305664
3.413823640452834,6.529038631241049e-16,-10.662729263305664
3.4782354072538304,6.529038631241049e-16,-10.662729263305664
3.5426471740548267,6.529038631241049e-16,-10.662729263305664
3.607058940855823,6.529038631241049e-16,-10.662729263305664
3.671470707656819,6.529038631241049e-16,-10.662729263305664
3.7358824744578154,6.529038631241049e-16,-10.662729263305664
3.8002942412588117,6.529038631241049e-16,-10.662729263305664
