Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,3092.228041,2505.892594,5630.884291,4848.441888
wing,6798.928964,6005.030570,3620.814157,3397.939223
htail,558.418884,531.359791,67.974292,67.974292
htail,558.418884,531.359791,67.974292,67.974292
Totals,11007.994773,9573.642745,9387.647032,8382.329702

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,3092.228041,2505.892594
wing_S_Surf0,3399.464482,3002.515285
wing_S_Surf1,3399.464482,3002.515285
htail_S_Surf0,558.418884,531.359791
htail_S_Surf1,558.418884,531.359791
