Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
BORGeom,136.152241,134.314521,82.508625,82.345982
BORGeom,6.802802,2.445964,1.317646,0.479298
Totals,142.955043,136.760485,83.826271,82.825281

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
BORGeom_S_Surf0,136.152241,134.314521
BORGeom_S_Surf0,6.802802,2.445964
